Duration,Activity,Revenue,Source
7.8,2,0,GoogleSearch
119.4,5,24,GoogleSearch
5.3,1,0,GoogleSearch
8.8,4,0,GoogleSearch
13.4,1,0,GoogleSearch
9.6,1,0,GoogleSearch
65.2,2,32.7,GoogleSearch
9,2,0,GoogleSearch
10.4,3,0,GoogleSearch
73.4,15,5,GoogleSearch
10.9,3,0,GoogleSearch
7.2,4,0,GoogleSearch
1.3,1,0,GoogleAdWord
1,0,0,GoogleAdWord
9,3,0,GoogleSearch
9.9,2,0,GoogleSearch
8.2,2,0,GoogleSearch
60.2,9,6.8,GoogleSearch
2.2,2,0,GoogleAdWord
22.8,1,0,GoogleAdWord
8.2,1,0,GoogleSearch
75.1,10,7.6,GoogleSearch
9.3,1,0,GoogleSearch
76.4,9,8.6,GoogleSearch
86.4,1,86.5,GoogleSearch
66.9,6,0,Directlink
11.8,3,0,GoogleSearch
9.4,2,0,GoogleSearch
9.6,2,0,GoogleSearch
10.2,3,0,GoogleSearch
64.7,7,27.1,Directlink
10.5,3,0,GoogleSearch
8.5,2,0,GoogleSearch
12.5,3,0,GoogleSearch
11.1,3,0,GoogleSearch
12,0,0,GoogleSearch
10.8,3,0,GoogleSearch
11.8,1,0,GoogleSearch
8.7,0,0,GoogleSearch
9.4,2,3,GoogleSearch
55.8,1,55.9,GoogleSearch
13.3,3,0,GoogleSearch
5.6,4,0,GoogleSearch
1,0,0,GoogleAdWord
37.1,6,0,Directlink
10.3,4,0,GoogleSearch
7.5,3,0,GoogleSearch
9.8,2,0,GoogleSearch
6.6,1,0,GoogleSearch
10.3,2,0,GoogleSearch
11.3,3,0,GoogleSearch
10.4,3,0,GoogleSearch
7,3,0,GoogleSearch
71.3,10,7.2,GoogleSearch
11.7,3,0,GoogleSearch
1,3,0,GoogleAdWord
7.5,1,0,GoogleSearch
9.2,1,0,GoogleSearch
12.3,1,0,GoogleSearch
11.6,3,0,GoogleSearch
11,2,0,GoogleSearch
6.6,2,0,GoogleSearch
11.7,1,0,GoogleSearch
11.5,3,0,GoogleSearch
10,2,0,GoogleSearch
10.8,0,1.1,GoogleSearch
55.3,5,0,Directlink
1,1,0,GoogleAdWord
9.6,3,0,GoogleSearch
80,5,16.1,GoogleSearch
8,1,0,GoogleSearch
9.8,2,0,GoogleSearch
1,0,0,GoogleAdWord
13.7,2,0,GoogleSearch
11,3,0,GoogleSearch
11,1,0,GoogleSearch
8.5,2,0,GoogleSearch
13.2,1,0,GoogleSearch
33.7,9,0,Directlink
11.7,3,0,GoogleSearch
12.9,3,0,GoogleSearch
12.7,2,0,GoogleSearch
68.2,1,0,Directlink
12.8,1,0,GoogleSearch
12.4,2,0,GoogleSearch
10.8,0,0,GoogleSearch
7.5,3,0,GoogleSearch
9.6,2,0,GoogleSearch
7.9,4,0,GoogleSearch
12.7,3,0,GoogleSearch
63.6,2,16.9,Directlink
11.4,2,3.2,GoogleSearch
72.1,10,7.3,GoogleSearch
7.3,1,0,GoogleSearch
7.8,2,0,GoogleSearch
11,1,0,GoogleSearch
7.5,0,0,GoogleSearch
8.3,1,0,GoogleSearch
29.7,3,0,GoogleAdWord
8,3,3.8,GoogleSearch
8.8,1,0,GoogleSearch
12.7,3,4.3,GoogleSearch
9.6,2,0,GoogleSearch
9.5,1,0,GoogleSearch
9.9,2,3,GoogleSearch
89.2,1,89.3,GoogleSearch
1,3,0,GoogleAdWord
10.9,1,0,GoogleSearch
9.7,0,0,GoogleSearch
9.6,1,0,GoogleSearch
1,2,0,GoogleAdWord
60.7,4,20.3,Directlink
10.2,1,0,GoogleSearch
97,1,97.1,GoogleSearch
7.4,1,0,GoogleSearch
8.2,2,0,GoogleSearch
86.6,12,7.3,GoogleSearch
13.5,2,0,GoogleSearch
8.4,2,0,GoogleSearch
10.4,3,0,GoogleSearch
80.4,7,11.6,GoogleSearch
10.2,2,0,GoogleSearch
8.9,2,0,GoogleSearch
70.3,6,11.8,GoogleSearch
9.1,1,0,GoogleSearch
6.7,1,0,GoogleSearch
10.6,0,0,GoogleAdWord
53.1,7,0,Directlink
67.8,12,5.7,GoogleSearch
8.2,1,0,GoogleSearch
9.6,4,0,GoogleSearch
9.5,2,0,GoogleSearch
11.5,3,0,GoogleSearch
7.7,1,0,GoogleSearch
11.9,2,0,GoogleSearch
10.9,4,0,GoogleSearch
6.8,2,0,GoogleSearch
11,2,3.2,GoogleSearch
6.2,1,0,GoogleAdWord
9.4,2,0,GoogleSearch
9,2,0,GoogleSearch
10,3,0,GoogleSearch
6.3,4,0,GoogleSearch
6.9,1,0,GoogleAdWord
11.6,3,0,GoogleSearch
64.6,5,23.1,Directlink
73.2,2,0,Directlink
32.7,3,0,Directlink
9.5,2,0,GoogleSearch
5.2,1,0,GoogleAdWord
55.5,3,0,Directlink
12.1,3,0,GoogleSearch
11.5,2,0,GoogleSearch
9.7,2,0,GoogleSearch
10.9,3,0,GoogleSearch
60.4,7,8.7,GoogleSearch
8.2,2,0,GoogleSearch
10.7,4,0,GoogleSearch
78.9,2,39.5,GoogleSearch
9.8,2,0,GoogleSearch
9.4,0,0,GoogleSearch
9.5,2,0,GoogleSearch
10.6,1,0,GoogleSearch
12,1,0,GoogleSearch
8.7,4,0,GoogleSearch
9.9,3,4,GoogleSearch
14.5,0,0,GoogleAdWord
3.7,1,0,GoogleAdWord
0,1,0,GoogleAdWord
8.6,1,0,GoogleSearch
73.1,8,9.2,GoogleSearch
9.5,2,0,GoogleSearch
1,0,0,GoogleAdWord
72.5,6,12.2,GoogleSearch
79.9,9,9,GoogleSearch
6,1,0,GoogleSearch
10.6,3,0,GoogleSearch
9.5,1,0,GoogleSearch
16.2,2,0,GoogleSearch
11.8,2,0,GoogleSearch
8.9,3,0,GoogleSearch
62.5,5,22.7,Directlink
11.9,0,0,GoogleSearch
10.6,1,0,GoogleSearch
9.3,2,0,GoogleSearch
11.1,2,0,GoogleSearch
11.1,1,0,GoogleSearch
9.9,2,0,GoogleSearch
9.6,2,0,GoogleSearch
11.5,1,0,GoogleSearch
99,1,99.1,GoogleSearch
1,2,0,GoogleAdWord
9,2,0,GoogleSearch
11.8,2,0,GoogleSearch
11.5,2,0,GoogleSearch
10,2,0,GoogleSearch
10.9,1,0,GoogleSearch
48.8,2,0,Directlink
8.7,3,0,GoogleSearch
56.7,8,0,Directlink
10.7,1,0,GoogleSearch
11.9,2,0,GoogleSearch
16.4,1,0,GoogleAdWord
12.5,2,0,GoogleSearch
9,3,0,GoogleSearch
7.4,0,0,GoogleSearch
71.4,12,6,GoogleSearch
14.4,3,0,GoogleSearch
7.2,2,0,GoogleSearch
93.9,1,94,GoogleSearch
9.9,0,0,GoogleAdWord
8.1,0,0,GoogleSearch
9.8,2,0,GoogleSearch
10.6,1,0,GoogleSearch
14.3,4,0,GoogleSearch
5.2,2,0,GoogleSearch
12.3,2,0,GoogleSearch
10.9,3,0,GoogleSearch
8.4,2,0,GoogleSearch
8.7,1,0,GoogleSearch
7.8,2,0,GoogleSearch
6.7,3,0,GoogleSearch
73.3,8,9.2,GoogleSearch
7.2,1,0,GoogleSearch
48.1,3,15.8,Directlink
10.1,3,0,GoogleSearch
7.9,1,0,GoogleSearch
7,2,0,GoogleSearch
34.7,3,0,GoogleAdWord
11.3,2,0,GoogleSearch
61.6,7,26.5,Directlink
11.1,1,0,GoogleSearch
49.7,5,20.1,Directlink
9.5,2,0,GoogleSearch
8.8,3,0,GoogleSearch
72.8,8,30.7,Directlink
14.9,3,0,GoogleSearch
10.1,2,0,GoogleSearch
9.8,2,0,GoogleSearch
9,0,0,GoogleSearch
10.7,3,0,GoogleSearch
57.3,6,23.7,Directlink
10.5,4,0,GoogleSearch
9.2,4,0,GoogleSearch
96.6,10,9.7,GoogleSearch
8.5,0,0,GoogleSearch
12.1,0,0,GoogleSearch
9.8,3,0,GoogleSearch
5.8,1,0,GoogleSearch
11.1,1,0,GoogleSearch
5.5,1,0,GoogleAdWord
7.5,1,0,GoogleSearch
8.9,2,0,GoogleSearch
1,0,0,GoogleAdWord
10.5,2,0,GoogleSearch
8.2,3,0,GoogleSearch
8.4,4,0,GoogleSearch
10.2,0,0,GoogleSearch
12.9,2,0,GoogleSearch
6.8,2,0,GoogleSearch
6.1,1,0,GoogleSearch
10.9,4,5.1,GoogleSearch
9.8,2,0,GoogleSearch
95.1,9,10.7,GoogleSearch
10.9,2,0,GoogleSearch
10.1,2,0,GoogleSearch
8,1,0,GoogleSearch
11.9,2,0,GoogleSearch
82.7,9,9.3,GoogleSearch
10.4,2,0,GoogleSearch
13,3,0,GoogleSearch
8,2,0,GoogleSearch
6.9,1,0,GoogleSearch
10.6,1,0,GoogleSearch
10.3,1,0,GoogleSearch
10.5,2,0,GoogleSearch
6.7,2,0,GoogleAdWord
8.8,2,0,GoogleSearch
8,1,0,GoogleSearch
11.6,3,0,GoogleSearch
12.9,2,0,GoogleSearch
12.3,2,0,GoogleSearch
9,0,0,GoogleSearch
9.7,2,0,GoogleSearch
11,1,0,GoogleSearch
78.1,9,0,Directlink
12.3,3,0,GoogleSearch
11.1,2,0,GoogleSearch
9.4,4,0,GoogleSearch
13.7,2,0,GoogleSearch
6.9,2,0,GoogleSearch
10.1,1,0,GoogleSearch
9.5,2,0,GoogleSearch
12.6,2,0,GoogleSearch
7.7,3,0,GoogleSearch
8.8,1,0,GoogleSearch
8.1,1,1.9,GoogleSearch
12.8,2,0,GoogleSearch
52.8,8,26.8,Directlink
8.5,0,0,GoogleSearch
13.7,2,0,GoogleSearch
14,1,0,GoogleSearch
14.1,1,0,GoogleSearch
12.8,2,0,GoogleAdWord
8.2,1,0,GoogleSearch
10.1,2,0,GoogleSearch
8.7,4,0,GoogleSearch
11.1,2,0,GoogleSearch
10.7,1,0,GoogleSearch
9.8,3,0,GoogleSearch
8.8,1,0,GoogleSearch
11.1,2,0,GoogleSearch
13,1,0,GoogleSearch
1,1,2.1,GoogleAdWord
1,1,0,GoogleAdWord
8.3,3,0,GoogleSearch
7,2,0,GoogleSearch
14.8,2,0,GoogleSearch
8.6,5,0,GoogleSearch
10.3,2,3.1,GoogleSearch
10.9,1,0,GoogleSearch
12.2,2,0,GoogleSearch
10.8,2,0,GoogleSearch
68.4,6,0,Directlink
11.1,3,0,GoogleSearch
7.9,3,0,GoogleSearch
8.7,0,0,GoogleSearch
8.4,3,0,GoogleSearch
53.8,7,25,Directlink
8,2,0,GoogleSearch
13.8,2,0,GoogleAdWord
9.6,3,0,GoogleSearch
7.5,2,0,GoogleSearch
5.9,3,0,GoogleSearch
11.1,2,0,GoogleSearch
11.1,1,0,GoogleSearch
10.4,2,0,GoogleSearch
10.3,4,0,GoogleSearch
112.3,8,14.1,GoogleSearch
11.8,2,0,GoogleSearch
60.9,6,10.3,GoogleSearch
10.2,1,0,GoogleSearch
10.7,0,0,GoogleSearch
8.4,1,0,GoogleSearch
67.3,7,0,Directlink
9.9,2,0,GoogleSearch
67.6,5,0,Directlink
11.9,2,3.2,GoogleSearch
10.6,3,0,GoogleSearch
11.1,3,0,GoogleSearch
11.5,3,0,GoogleSearch
10,3,0,GoogleSearch
11.1,0,0,GoogleSearch
12.4,1,0,GoogleSearch
69.9,6,26.2,Directlink
11.6,4,0,GoogleSearch
11.1,0,0,GoogleSearch
10.7,3,0,GoogleSearch
9.1,4,0,GoogleSearch
6,2,0,GoogleSearch
12.4,2,0,GoogleAdWord
8.2,1,0,GoogleSearch
9.3,2,0,GoogleSearch
6.2,1,0,GoogleSearch
10.1,4,0,GoogleSearch
1,3,0,GoogleAdWord
63.1,12,5.4,GoogleSearch
8.2,3,0,GoogleSearch
85.7,1,85.8,GoogleSearch
6.2,1,0,GoogleAdWord
42.4,8,24.7,Directlink
60.6,3,20.3,GoogleSearch
7.5,5,0,GoogleSearch
12.1,2,0,GoogleSearch
13.7,2,0,GoogleSearch
12.2,3,0,GoogleSearch
9.6,4,0,GoogleSearch
10,1,0,GoogleSearch
12.2,2,0,GoogleSearch
12.9,4,0,GoogleSearch
43.3,7,22.9,Directlink
12,3,0,GoogleSearch
1,1,0,GoogleAdWord
12.4,3,0,GoogleSearch
12,2,0,GoogleSearch
7,2,0,GoogleSearch
9.8,1,0,GoogleSearch
62.6,5,22.7,Directlink
9.3,4,0,GoogleSearch
13.4,2,0,GoogleSearch
11.4,2,0,GoogleSearch
9.2,2,0,GoogleSearch
47.9,9,0,Directlink
11.4,3,0,GoogleSearch
10.7,1,0,GoogleSearch
10.3,3,0,GoogleSearch
12,0,0,GoogleSearch
9.9,3,0,GoogleSearch
10.6,4,0,GoogleSearch
9.6,2,0,GoogleSearch
4.4,3,0,GoogleSearch
61.8,7,26.6,Directlink
10.1,3,0,GoogleSearch
24.6,0,0,GoogleAdWord
10.3,3,0,GoogleSearch
9.4,1,0,GoogleSearch
13.5,3,0,GoogleSearch
12.6,2,0,GoogleSearch
11.5,2,3.2,GoogleSearch
10.6,1,0,GoogleSearch
5.5,2,0,GoogleSearch
12.4,3,0,GoogleSearch
51.6,4,18.5,Directlink
11.5,3,0,GoogleSearch
10.2,3,0,GoogleSearch
12.8,3,0,GoogleSearch
9.9,2,0,GoogleSearch
11.1,1,0,GoogleSearch
12.1,2,0,GoogleSearch
11.2,3,0,GoogleSearch
8.7,4,0,GoogleSearch
11.7,1,0,GoogleSearch
8.8,2,0,GoogleSearch
64.7,10,6.6,GoogleSearch
11.1,2,0,GoogleSearch
53.7,7,24.9,Directlink
62.9,8,0,Directlink
7.1,2,0,GoogleSearch
9.9,3,0,GoogleSearch
11.7,2,0,GoogleSearch
100.7,7,14.5,GoogleSearch
12.5,3,0,GoogleSearch
56.5,4,19.5,Directlink
12.4,3,0,GoogleSearch
8.1,2,0,GoogleSearch
9.7,1,0,GoogleSearch
10.1,2,0,GoogleSearch
6.1,2,0,GoogleSearch
12.9,1,0,GoogleSearch
86.7,6,14.6,GoogleSearch
3.8,1,0,GoogleAdWord
53.8,5,0,Directlink
10.2,3,0,GoogleSearch
26.4,6,17.5,Directlink
10.1,2,0,GoogleSearch
9.9,1,0,GoogleSearch
9.3,1,0,GoogleSearch
8.4,2,0,GoogleSearch
10.4,3,0,GoogleSearch
15.9,1,0,GoogleSearch
11.2,1,0,GoogleSearch
11.8,2,0,GoogleSearch
11.3,2,0,GoogleSearch
11.7,3,0,GoogleSearch
5.9,3,0,GoogleSearch
13.7,0,0,GoogleAdWord
9.1,2,0,GoogleSearch
12.6,3,0,GoogleSearch
9.2,2,0,GoogleSearch
10,1,0,GoogleAdWord
10.3,2,0,GoogleSearch
10.8,2,0,GoogleSearch
12.8,1,0,GoogleSearch
11,2,0,GoogleSearch
11.1,2,0,GoogleSearch
11.7,3,0,GoogleSearch
49.8,4,0,Directlink
10.2,3,0,GoogleSearch
11.3,1,0,GoogleSearch
7.2,1,0,GoogleSearch
10.4,1,0,GoogleSearch
12.3,0,0,GoogleSearch
1,1,0,GoogleAdWord
46.5,8,25.5,Directlink
7.7,0,0,GoogleAdWord
9,2,0,GoogleSearch
7.3,2,0,GoogleSearch
10.2,2,0,GoogleSearch
47.9,10,4.9,GoogleSearch
11.2,2,0,GoogleSearch
7.2,2,0,GoogleSearch
1,1,0,GoogleAdWord
10.7,2,0,GoogleSearch
10.2,2,0,GoogleSearch
1,2,0,GoogleAdWord
11.4,1,0,GoogleSearch
9.5,1,2,GoogleSearch
95.2,6,16,GoogleSearch
17,2,0,GoogleAdWord
8.1,1,0,GoogleSearch
10.8,3,0,GoogleSearch
14.4,4,0,GoogleSearch
11.9,0,1.2,GoogleSearch
13.2,2,0,GoogleSearch
8.7,1,0,GoogleSearch
9.5,2,3,GoogleSearch
86.3,7,12.4,GoogleSearch
93.3,8,11.8,GoogleSearch
75.8,15,5.2,GoogleSearch
12.5,1,0,GoogleSearch
9.6,2,0,GoogleSearch
12.1,1,0,GoogleSearch
101.9,1,102,GoogleSearch
11.5,1,0,GoogleSearch
6.2,1,0,GoogleSearch
103.3,15,7,GoogleSearch
12.3,2,0,GoogleSearch
7,1,0,GoogleSearch
7.9,2,0,GoogleSearch
10.4,2,0,GoogleSearch
12,3,0,GoogleSearch
9.6,2,0,GoogleSearch
11.7,3,0,GoogleSearch
59.4,5,0,Directlink
7.6,2,0,GoogleSearch
12.1,4,0,GoogleSearch
96.1,15,6.5,GoogleSearch
9.9,2,0,GoogleSearch
8.7,3,0,GoogleSearch
11,3,0,GoogleSearch
11.2,3,4.2,GoogleSearch
42.9,9,4.9,GoogleSearch
9.7,2,0,GoogleSearch
7,1,0,GoogleSearch
9.6,1,0,GoogleSearch
67.7,7,0,Directlink
7.6,3,0,GoogleSearch
10.5,2,0,GoogleSearch
8.5,2,0,GoogleAdWord
9.7,2,0,GoogleSearch
15.2,2,0,GoogleSearch
64.1,5,12.9,GoogleSearch
10.6,3,0,GoogleSearch
8.4,1,0,GoogleSearch
9.3,4,0,GoogleSearch
12.4,0,0,GoogleSearch
71.9,4,18.1,GoogleSearch
14.3,0,0,GoogleSearch
73.3,9,8.3,GoogleSearch
10.2,3,0,GoogleSearch
24.8,3,0,GoogleAdWord
12.3,2,0,GoogleSearch
10.8,1,0,GoogleSearch
8.5,1,0,GoogleSearch
11.2,3,0,GoogleSearch
8.6,2,0,GoogleSearch
27.8,1,0,GoogleAdWord
1,0,0,GoogleAdWord
9.3,3,0,GoogleSearch
10.8,2,0,GoogleSearch
77.1,5,25.6,Directlink
9.6,1,0,GoogleSearch
4.7,2,0,GoogleAdWord
54.1,6,23,Directlink
13.2,2,0,GoogleSearch
8,1,0,GoogleSearch
80.8,10,8.2,GoogleSearch
60.9,13,4.8,GoogleSearch
1,2,0,GoogleAdWord
7.6,3,0,GoogleSearch
8.6,3,0,GoogleSearch
11.4,2,0,GoogleSearch
11.9,3,0,GoogleSearch
76.5,17,4.6,GoogleSearch
12.8,3,0,GoogleSearch
5.9,2,0,GoogleSearch
67.3,5,23.7,Directlink
66,15,4.5,GoogleSearch
12.2,3,0,GoogleSearch
10.1,0,0,GoogleSearch
9.7,2,0,GoogleAdWord
7.8,3,0,GoogleSearch
52.8,9,0,Directlink
13.4,3,0,GoogleSearch
7.6,1,0,GoogleSearch
10.5,2,0,GoogleSearch
10.4,4,0,GoogleSearch
67.5,8,8.5,GoogleSearch
7.6,3,0,GoogleSearch
10.2,4,0,GoogleSearch
77.4,6,13,GoogleSearch
15.1,0,0,GoogleSearch
11.3,0,0,GoogleSearch
7.1,2,0,GoogleSearch
61.8,5,0,Directlink
99.1,10,10,GoogleSearch
9.8,2,0,GoogleSearch
12.7,1,0,GoogleSearch
10.6,3,0,GoogleSearch
12.4,2,3.3,GoogleSearch
10.6,3,0,GoogleSearch
20.9,2,0,GoogleAdWord
9.3,4,0,GoogleSearch
13.5,4,0,GoogleSearch
12.8,1,0,GoogleSearch
90,4,22.6,GoogleSearch
9.1,1,0,GoogleSearch
80.8,13,6.3,GoogleSearch
12.6,2,0,GoogleSearch
9.8,1,0,GoogleSearch
13.3,3,0,GoogleSearch
8.6,0,0,GoogleSearch
55.6,7,0,Directlink
78.3,17,4.7,GoogleSearch
10.1,2,0,GoogleSearch
1,2,0,GoogleAdWord
10.1,2,0,GoogleSearch
17,1,0,GoogleSearch
38.6,5,0,Directlink
78.3,4,23.9,Directlink
8.5,1,0,GoogleSearch
8.2,4,0,GoogleSearch
44.8,5,0,Directlink
8.9,3,0,GoogleSearch
10.1,3,0,GoogleSearch
10,2,0,GoogleSearch
7.1,2,0,GoogleSearch
8.9,2,0,GoogleSearch
13,1,0,GoogleSearch
8.9,0,0,GoogleSearch
10,1,2,GoogleSearch
41.7,5,0,Directlink
79.8,5,26.2,Directlink
10.1,3,0,GoogleSearch
9.9,3,4,GoogleSearch
7.9,3,0,GoogleSearch
11.8,2,0,GoogleSearch
6.5,2,0,GoogleSearch
43.4,9,0,Directlink
64.6,5,13,GoogleSearch
9.4,2,0,GoogleSearch
13,2,0,GoogleSearch
10.7,3,0,GoogleSearch
47.7,9,0,Directlink
10.4,1,2.1,GoogleSearch
8,1,0,GoogleSearch
11.4,3,4.2,GoogleSearch
7.4,2,0,GoogleSearch
12,3,0,GoogleSearch
11.7,2,0,GoogleSearch
93.5,9,10.5,GoogleSearch
2.5,1,0,GoogleAdWord
75.7,6,27.3,Directlink
12.1,2,0,GoogleSearch
8.7,1,0,GoogleSearch
9.4,3,0,GoogleSearch
10.7,1,0,GoogleSearch
8.3,3,0,GoogleSearch
10,1,0,GoogleSearch
11.6,1,0,GoogleSearch
97.5,18,5.5,GoogleSearch
11.9,3,0,GoogleSearch
9.5,1,0,GoogleSearch
10.3,0,0,GoogleSearch
9.9,2,0,GoogleSearch
9.1,4,0,GoogleSearch
9.5,1,0,GoogleSearch
7.2,1,0,GoogleSearch
11.7,4,0,GoogleSearch
9.3,1,0,GoogleSearch
9.5,2,0,GoogleSearch
9,3,0,GoogleSearch
64.5,6,10.9,GoogleSearch
9.6,3,0,GoogleSearch
10.5,2,0,GoogleSearch
9.9,2,0,GoogleSearch
11,3,0,GoogleSearch
7,0,0,GoogleSearch
9.3,3,0,GoogleSearch
15.1,2,0,GoogleSearch
4.9,2,0,GoogleSearch
75.1,5,25.2,Directlink
81.9,9,0,Directlink
9.1,4,0,GoogleSearch
14.7,1,0,GoogleSearch
98.1,9,11,GoogleSearch
11.3,2,0,GoogleSearch
6.5,1,2.4,GoogleAdWord
5.9,2,0,GoogleSearch
7.4,1,0,GoogleSearch
1,0,0,GoogleAdWord
7.5,3,0,GoogleSearch
13.2,2,0,GoogleSearch
9.3,2,0,GoogleSearch
1,2,0,GoogleAdWord
8.6,3,0,GoogleSearch
10.5,2,0,GoogleSearch
56.6,6,23.5,Directlink
10.3,1,0,GoogleSearch
9.2,2,0,GoogleSearch
10.2,2,0,GoogleSearch
12.4,2,0,GoogleSearch
11.6,2,0,GoogleSearch
10.4,3,0,GoogleSearch
76.7,6,12.9,GoogleSearch
81.7,7,11.8,GoogleSearch
14,2,0,GoogleSearch
10.1,3,4.1,GoogleSearch
13,3,0,GoogleSearch
13.4,2,0,GoogleSearch
15.2,2,0,GoogleSearch
9.5,2,0,GoogleSearch
78.5,7,0,Directlink
12.9,3,0,GoogleSearch
6.6,2,0,GoogleSearch
11.3,2,0,GoogleSearch
8.9,4,0,GoogleSearch
10.7,2,0,GoogleSearch
8.7,2,0,GoogleSearch
7.4,2,2.8,GoogleSearch
13,3,0,GoogleSearch
11.2,4,0,GoogleSearch
11.2,4,0,GoogleSearch
9.8,3,0,GoogleSearch
9.7,2,0,GoogleSearch
53.9,8,0,Directlink
1,1,0,GoogleAdWord
13.1,2,0,GoogleSearch
7,0,0,GoogleSearch
1,0,0,GoogleAdWord
11.6,1,0,GoogleSearch
9.2,3,0,GoogleSearch
7.2,2,0,GoogleSearch
12,3,0,GoogleSearch
80,11,0,Directlink
11.9,3,0,GoogleSearch
11.7,2,0,GoogleSearch
9.2,2,0,GoogleSearch
10.3,3,0,GoogleSearch
14.4,3,0,GoogleSearch
9.6,2,0,GoogleSearch
8.6,3,0,GoogleSearch
64.2,5,0,Directlink
9.4,0,0,GoogleSearch
11.9,2,0,GoogleSearch
74.5,4,18.7,GoogleSearch
62.6,5,22.7,Directlink
8.1,1,0,GoogleSearch
10.2,3,0,GoogleSearch
12.3,2,0,GoogleAdWord
11.8,2,0,GoogleSearch
1,2,0,GoogleAdWord
9.9,2,0,GoogleSearch
9.3,3,0,GoogleSearch
10.5,3,0,GoogleSearch
15.3,0,0,GoogleAdWord
10,3,0,GoogleSearch
8.5,3,0,GoogleSearch
9,2,0,GoogleSearch
55.2,5,21.2,Directlink
9.9,2,0,GoogleSearch
6.2,2,0,GoogleSearch
11.2,2,3.2,GoogleSearch
10.8,3,0,GoogleSearch
8.7,4,0,GoogleSearch
11.4,2,0,GoogleSearch
8.7,2,0,GoogleSearch
11.7,2,0,GoogleSearch
78.8,6,0,Directlink
14.3,3,0,GoogleSearch
10.8,3,0,GoogleSearch
12.8,3,0,GoogleSearch
8.6,3,0,GoogleSearch
11.3,2,0,GoogleSearch
49,4,0,Directlink
7.7,0,0,GoogleSearch
11.4,2,0,GoogleSearch
11.1,3,0,GoogleSearch
11.6,2,3.2,GoogleSearch
10.1,2,0,GoogleSearch
7.6,0,0.8,GoogleSearch
12.6,0,1.3,GoogleSearch
13.9,3,0,GoogleSearch
10.5,1,0,GoogleSearch
8.2,3,0,GoogleSearch
6.9,2,0,GoogleSearch
8,2,0,GoogleSearch
8.6,3,0,GoogleSearch
11.1,3,0,GoogleSearch
10.1,4,0,GoogleSearch
51.4,7,24.5,Directlink
76.4,1,76.5,GoogleSearch
69.3,2,34.7,GoogleSearch
9,2,0,GoogleSearch
12.1,2,0,GoogleSearch
11.8,2,0,GoogleSearch
8.8,2,0,GoogleSearch
1,1,2.1,GoogleAdWord
9.1,3,0,GoogleSearch
1,2,0,GoogleAdWord
9.6,3,0,GoogleSearch
8.1,3,0,GoogleSearch
3.9,1,0,GoogleAdWord
8.7,2,0,GoogleSearch
67.7,5,13.6,GoogleSearch
7.4,3,0,GoogleSearch
6.1,1,0,GoogleSearch
69.3,1,69.4,GoogleSearch
8.9,1,0,GoogleSearch
38,8,0,Directlink
42.5,4,16.7,Directlink
9.5,1,0,GoogleSearch
9.8,1,0,GoogleSearch
8.7,4,0,GoogleSearch
7.1,2,0,GoogleSearch
11.7,3,0,GoogleSearch
81.8,10,8.3,GoogleSearch
8.7,3,0,GoogleSearch
93.9,8,0,Directlink
10.2,4,0,GoogleSearch
10.4,1,2.1,GoogleSearch
7.9,1,0,GoogleSearch
10.5,1,0,GoogleSearch
9.5,2,0,GoogleSearch
96.1,1,96.2,GoogleSearch
51.8,7,0,Directlink
10.6,2,0,GoogleSearch
10,2,0,GoogleSearch
9.8,1,0,GoogleSearch
1,0,0,GoogleAdWord
8.9,3,0,GoogleSearch
84.6,6,0,Directlink
1,1,0,GoogleAdWord
9.8,1,0,GoogleSearch
6.8,2,0,GoogleSearch
20.8,1,0,GoogleAdWord
11.1,3,0,GoogleSearch
58.8,2,29.5,GoogleSearch
9.9,4,0,GoogleSearch
6.7,2,0,GoogleSearch
51.4,5,0,Directlink
47.8,10,4.9,GoogleSearch
9.1,2,0,GoogleSearch
87.7,4,22,GoogleSearch
8.2,3,0,GoogleSearch
98,6,16.4,GoogleSearch
11.1,2,0,GoogleSearch
10.5,2,0,GoogleSearch
7.9,1,0,GoogleSearch
28.1,6,17.8,Directlink
9.1,4,0,GoogleSearch
10.8,0,0,GoogleSearch
102.6,7,14.8,GoogleSearch
113,12,9.5,GoogleSearch
12,4,0,GoogleSearch
7.7,1,0,GoogleSearch
12,3,0,GoogleSearch
9.3,3,0,GoogleSearch
63,8,28.8,Directlink
10,2,0,GoogleSearch
80.9,15,5.5,GoogleSearch
12.6,2,0,GoogleSearch
12.1,2,0,GoogleSearch
9.6,4,0,GoogleSearch
9.8,0,0,GoogleSearch
7.4,0,0,GoogleSearch
1,0,0,GoogleAdWord
8.1,1,0,GoogleSearch
12.8,4,5.3,GoogleSearch
10.7,3,0,GoogleSearch
6.6,2,2.7,GoogleSearch
12.9,2,0,GoogleSearch
6,1,0,GoogleAdWord
7.2,2,0,GoogleSearch
10.4,3,0,GoogleSearch
12,1,0,GoogleSearch
7.2,1,0,GoogleSearch
50.1,4,18.2,Directlink
9,2,0,GoogleSearch
10.3,3,4.1,GoogleSearch
12.7,3,0,GoogleSearch
76.7,10,7.8,GoogleSearch
18.8,1,0,GoogleAdWord
10.1,3,0,GoogleSearch
8.8,3,0,GoogleSearch
9.6,2,0,GoogleSearch
9.7,3,0,GoogleSearch
92.3,13,7.2,GoogleSearch
8,2,0,GoogleSearch
10.8,0,0,GoogleSearch
13.7,2,0,GoogleSearch
11,3,0,GoogleSearch
