STUDENTID,SCORE,GRADE,ASKS_QUESTIONS,LEAVES_EARLY,PARTICIPATION
19676,78.37,B,always,always,0.41
94940,31.46,D,sometimes,rarely,1
44726,60.62,C,sometimes,never,0.37
38117,56.59,C,never,never,0.32
46824,8.68,F,never,always,0.74
37878,46.33,C,never,never,0.69
37464,47.62,D,sometimes,rarely,0.12
80979,45.51,C,sometimes,rarely,0.83
57975,16.08,F,always,always,0.52
56960,22.34,F,always,never,0.52
25903,56.52,C,sometimes,never,0.56
53747,63.04,B,always,never,0.61
21932,68.47,B,never,never,0.6
63407,25.39,D,never,always,0.98
43866,52.01,C,sometimes,rarely,0.04
20102,42.04,C,sometimes,never,0.93
10704,26.65,F,never,always,0.08
80791,37.46,D,never,always,0.55
29627,42.49,C,sometimes,rarely,0.82
93646,3.55,F,always,never,0.37
68033,81.29,B,never,always,0.44
32328,37.36,D,always,never,0.99
60370,86.7,A,sometimes,always,0.05
22982,45.34,D,never,always,0.46
63249,31.47,F,always,never,0.22
56015,16.52,F,never,never,0.65
11036,6.96,F,sometimes,never,0.07
97882,91.88,A,never,rarely,0.73
98907,61.22,B,always,rarely,1
20845,13.02,F,always,rarely,0.09
91272,46.27,D,always,rarely,0.15
92137,63.73,B,always,never,0.87
25790,38.79,D,never,always,0.32
35696,53.83,C,never,never,0.05
20593,49.69,D,always,always,0.16
82398,3.06,F,never,always,0.81
71733,42.74,C,always,always,0.97
93904,70.2,B,sometimes,always,0.5
30985,75.61,A,always,always,0.96
53694,86.8,A,sometimes,rarely,0.88
81223,90.7,A,always,never,0.95
81823,93.19,A,never,never,0.81
25033,80.72,A,sometimes,never,0.93
18125,83.81,A,sometimes,always,0.91
56469,89.8,A,always,always,0.92
89862,84.53,A,never,never,0.9
70253,84.15,A,always,always,0.98
16384,84.19,A,never,never,0.84
63345,85.69,A,never,always,0.88
77713,97.9,A,sometimes,never,0.94
19009,97.38,A,never,never,0.97
86518,85.54,A,always,rarely,0.86
60292,90.78,A,sometimes,rarely,0.83
44452,82.62,A,sometimes,never,0.84
25250,90.08,A,sometimes,never,0.84
25242,86.39,A,never,rarely,0.95
28390,98.24,A,always,never,0.89
29726,92.29,A,always,always,0.99
33598,89.78,A,sometimes,never,0.96
43511,98.59,A,always,always,0.9
27768,97.37,A,always,rarely,0.9
16382,82.59,A,always,never,0.83
71601,88.96,A,never,rarely,0.88
99543,86.91,A,never,never,0.98
48877,88.63,A,sometimes,rarely,0.96
97420,80.45,A,sometimes,never,0.98
95544,90.98,A,never,always,0.88
20308,86.28,A,sometimes,never,0.84
77313,97.82,A,never,never,0.83
77243,85.91,A,never,never,0.85
95126,98.22,A,always,rarely,0.83
78424,80.47,A,always,always,0.98
86254,94.27,A,sometimes,never,0.88
89889,87.72,A,sometimes,rarely,0.95
83851,84.36,A,sometimes,never,0.88
24030,94.02,A,always,never,0.85
97433,84.97,A,always,always,0.83
97727,98.88,A,always,rarely,0.84
10965,87.56,A,sometimes,always,0.91
52302,94.48,A,always,rarely,0.92
35908,93.5,A,always,never,0.81
65734,92.1,A,never,never,0.87
11828,90.28,A,always,always,0.82
44970,84.14,A,never,rarely,0.93
23975,85.32,A,sometimes,always,0.92
16342,84.63,A,always,never,0.93
95924,81.51,A,sometimes,never,0.98
28910,94.61,A,always,always,0.83
81710,86.18,A,always,never,0.82
45100,80.54,A,sometimes,always,0.89
46025,86.68,A,never,never,0.87
66610,90.09,A,sometimes,never,0.82
59337,94.45,A,never,always,0.97
53333,94.22,A,always,always,0.82
